event_uid,event_name,event_date,snapshot_kind,requested_snapshot,actual_snapshot,event_start_utc,status,matched_fights,quote_rows,response_sha256,response_file,requests_remaining,requests_used,requests_last
db4b41de130579946610,UFC Fight Night: Moreno vs. Kavanagh,2026-02-28,close,2026-02-28T21:45:00+00:00,2026-02-28 21:40:37+00:00,2026-02-28T22:00:00+00:00,ok,12,132,9513d09b3386575f3378c6fb693101c054ff724357891a412490b64e3b73a816,raw/odds_totals/responses/db4b41de130579946610__close__2026-02-28T21-40-37Z.json.gz,4199402,800598,40
b92f2dc223039b4662fd,UFC 326: Holloway vs. Oliveira 2,2026-03-07,discovery_72h,2026-03-04T00:00:00+00:00,2026-03-03 23:55:38+00:00,2026-03-07T22:00:00+00:00,ok,9,66,e51d4d17f192722cd248c8be7ff9bd8bb5e27394821a6ac8f152b10c9fe744d2,raw/odds_totals/responses/b92f2dc223039b4662fd__discovery_72h__2026-03-03T23-55-38Z.json.gz,4199362,800638,40
b92f2dc223039b4662fd,UFC 326: Holloway vs. Oliveira 2,2026-03-07,entry,2026-03-06T22:00:00+00:00,2026-03-06 21:55:37+00:00,2026-03-07T22:00:00+00:00,ok,10,100,96ba6c1d6ac7ae00b03b9f4dca392a4b26ed83a2cd22547e01a88b5ada121d78,raw/odds_totals/responses/b92f2dc223039b4662fd__entry__2026-03-06T21-55-37Z.json.gz,4199322,800678,40
b92f2dc223039b4662fd,UFC 326: Holloway vs. Oliveira 2,2026-03-07,close,2026-03-07T21:45:00+00:00,2026-03-07 21:40:38+00:00,2026-03-07T22:00:00+00:00,ok,10,90,bb3635664b1c86887175891dac71449feb497291be7f22c8eb723cf0f7c4e582,raw/odds_totals/responses/b92f2dc223039b4662fd__close__2026-03-07T21-40-38Z.json.gz,4199282,800718,40
ba0d8285bee842a7eb6b,UFC Fight Night: Emmett vs. Vallejos,2026-03-14,discovery_72h,2026-03-11T00:00:00+00:00,2026-03-10 23:55:37+00:00,2026-03-14T20:00:00+00:00,ok,11,89,7489c529ea412fbef30d69acf5b0b46efbf311aebd421f871df4e47108c8a0ff,raw/odds_totals/responses/ba0d8285bee842a7eb6b__discovery_72h__2026-03-10T23-55-37Z.json.gz,4199242,800758,40
ba0d8285bee842a7eb6b,UFC Fight Night: Emmett vs. Vallejos,2026-03-14,entry,2026-03-13T20:00:00+00:00,2026-03-13 19:55:38+00:00,2026-03-14T20:00:00+00:00,ok,11,121,93ab3b6011d862a39c18f5029a696ef14dcf04c0a2ea3d634ec2663965ac4563,raw/odds_totals/responses/ba0d8285bee842a7eb6b__entry__2026-03-13T19-55-38Z.json.gz,4199172,800828,40
ba0d8285bee842a7eb6b,UFC Fight Night: Emmett vs. Vallejos,2026-03-14,close,2026-03-14T19:45:00+00:00,2026-03-14 19:40:37+00:00,2026-03-14T20:00:00+00:00,ok,11,121,92c6d2b7e1f21d3f6971011174dd77d96bb432e7b305dabaacea0f93e6d4cd42,raw/odds_totals/responses/ba0d8285bee842a7eb6b__close__2026-03-14T19-40-37Z.json.gz,4199132,800868,40
d7b02ac79200cfb384be,UFC Fight Night: Evloev vs. Murphy,2026-03-21,discovery_72h,2026-03-18T00:00:00+00:00,2026-03-17 23:55:38+00:00,2026-03-21T16:00:00+00:00,ok,12,98,754140bb60eb33848cd3ecf0481a034f7b243e0f81b71deddb9e76ffd29ccf18,raw/odds_totals/responses/d7b02ac79200cfb384be__discovery_72h__2026-03-17T23-55-38Z.json.gz,4199092,800908,40
d7b02ac79200cfb384be,UFC Fight Night: Evloev vs. Murphy,2026-03-21,entry,2026-03-20T16:00:00+00:00,2026-03-20 15:55:38+00:00,2026-03-21T16:00:00+00:00,ok,12,130,0a26ec0b0732054c5c03ecdc8b4f3b8fd55159b82b41c9c0a7b1a87cd883404a,raw/odds_totals/responses/d7b02ac79200cfb384be__entry__2026-03-20T15-55-38Z.json.gz,4199052,800948,40
d7b02ac79200cfb384be,UFC Fight Night: Evloev vs. Murphy,2026-03-21,close,2026-03-21T15:45:00+00:00,2026-03-21 15:40:37+00:00,2026-03-21T16:00:00+00:00,ok,12,130,61605686ada418de1df05152d5caa798c768630c9b3b7b2a070c0bb7857fd9ae,raw/odds_totals/responses/d7b02ac79200cfb384be__close__2026-03-21T15-40-37Z.json.gz,4199012,800988,40
9921599d2dbcd4eefd6a,UFC Fight Night: Adesanya vs. Pyfer,2026-03-28,discovery_72h,2026-03-25T00:00:00+00:00,2026-03-24 23:55:37+00:00,2026-03-28T20:00:00+00:00,ok,12,80,5d06b8497f0a9c830b4334c3492f052419f6680b56cda7b4280fbd8e6c2578ed,raw/odds_totals/responses/9921599d2dbcd4eefd6a__discovery_72h__2026-03-24T23-55-37Z.json.gz,4198972,801028,40
9921599d2dbcd4eefd6a,UFC Fight Night: Adesanya vs. Pyfer,2026-03-28,entry,2026-03-27T20:00:00+00:00,2026-03-27 19:55:37+00:00,2026-03-28T20:00:00+00:00,ok,12,129,efb6c51d60b20c3edbc8d7ee8e2321d765c57d59a3ffda450f17734c4e687989,raw/odds_totals/responses/9921599d2dbcd4eefd6a__entry__2026-03-27T19-55-37Z.json.gz,4198932,801068,40
9921599d2dbcd4eefd6a,UFC Fight Night: Adesanya vs. Pyfer,2026-03-28,close,2026-03-28T19:45:00+00:00,2026-03-28 19:40:38+00:00,2026-03-28T20:00:00+00:00,ok,12,130,2c151208bde45355945cedec67457d72c4cbca5cb84fc4bc5662e3fb0913c1e5,raw/odds_totals/responses/9921599d2dbcd4eefd6a__close__2026-03-28T19-40-38Z.json.gz,4198892,801108,40
e1235a5fe31b804f09c4,UFC Fight Night: Moicano vs. Duncan,2026-04-04,discovery_72h,2026-04-01T00:00:00+00:00,2026-03-31 23:55:37+00:00,2026-04-04T20:00:00+00:00,ok,10,64,37fd2bf361505dd2194505196c6d6ea564aa6d2e5d0dedb0b2a7105727282578,raw/odds_totals/responses/e1235a5fe31b804f09c4__discovery_72h__2026-03-31T23-55-37Z.json.gz,4198852,801148,40
e1235a5fe31b804f09c4,UFC Fight Night: Moicano vs. Duncan,2026-04-04,entry,2026-04-03T20:00:00+00:00,2026-04-03 19:55:38+00:00,2026-04-04T20:00:00+00:00,ok,10,93,b69ac37de54dc47746082a30490521dbad7646cf1055b02e8bdd91ce231d827c,raw/odds_totals/responses/e1235a5fe31b804f09c4__entry__2026-04-03T19-55-38Z.json.gz,4198812,801188,40
e1235a5fe31b804f09c4,UFC Fight Night: Moicano vs. Duncan,2026-04-04,close,2026-04-04T19:45:00+00:00,2026-04-04 19:40:37+00:00,2026-04-04T20:00:00+00:00,ok,10,93,4e5f0e757bfc1783f0bff260dc82f6ac3a3124c173a031bdeb04822de2d18edf,raw/odds_totals/responses/e1235a5fe31b804f09c4__close__2026-04-04T19-40-37Z.json.gz,4198772,801228,40
6392a5190671d653883a,UFC 327: Prochazka vs. Ulberg,2026-04-11,discovery_72h,2026-04-08T00:00:00+00:00,2026-04-07 23:55:38+00:00,2026-04-11T22:00:00+00:00,ok,9,63,6ae0df5ce0a46254b0a00a6c635bfb4247bdf726a8027af3955ceb40df723613,raw/odds_totals/responses/6392a5190671d653883a__discovery_72h__2026-04-07T23-55-38Z.json.gz,4198732,801268,40
6392a5190671d653883a,UFC 327: Prochazka vs. Ulberg,2026-04-11,entry,2026-04-10T22:00:00+00:00,2026-04-10 21:55:38+00:00,2026-04-11T22:00:00+00:00,ok,9,74,6ffef199ad87079b8a8cb0d49952b16fee96c47a8dd1d714243c80d19512095a,raw/odds_totals/responses/6392a5190671d653883a__entry__2026-04-10T21-55-38Z.json.gz,4198692,801308,40
6392a5190671d653883a,UFC 327: Prochazka vs. Ulberg,2026-04-11,close,2026-04-11T21:45:00+00:00,2026-04-11 21:40:37+00:00,2026-04-11T22:00:00+00:00,ok,9,74,7df869ac7369ae86b63cbab57635dc6848f9c31840432cb16e0c76b21a3d1dbc,raw/odds_totals/responses/6392a5190671d653883a__close__2026-04-11T21-40-37Z.json.gz,4198652,801348,40
ed5e8fa501986536fde8,UFC Fight Night: Burns vs. Malott,2026-04-18,discovery_72h,2026-04-15T00:00:00+00:00,2026-04-14 23:55:38+00:00,2026-04-18T21:10:00+00:00,ok,11,86,ef9dc9b477f42cbd43a293df5227c1698f9ad4d35422464fc88996eae6e345f5,raw/odds_totals/responses/ed5e8fa501986536fde8__discovery_72h__2026-04-14T23-55-38Z.json.gz,4198612,801388,40
ed5e8fa501986536fde8,UFC Fight Night: Burns vs. Malott,2026-04-18,entry,2026-04-17T21:10:00+00:00,2026-04-17 21:05:39+00:00,2026-04-18T21:10:00+00:00,ok,11,104,3ebc8e253a81a0f9ce8000d168a02e554fd832cf815ebca8816609c897837b36,raw/odds_totals/responses/ed5e8fa501986536fde8__entry__2026-04-17T21-05-39Z.json.gz,4198542,801458,40
ed5e8fa501986536fde8,UFC Fight Night: Burns vs. Malott,2026-04-18,close,2026-04-18T20:55:00+00:00,2026-04-18 20:50:37+00:00,2026-04-18T21:10:00+00:00,ok,11,104,4d88221072460078248e962d0886750ef405757a1f8d8317bd60eb3488ad8050,raw/odds_totals/responses/ed5e8fa501986536fde8__close__2026-04-18T20-50-37Z.json.gz,4198502,801498,40
ff9dfd69fa7205065e9e,UFC Fight Night: Sterling vs. Zalal,2026-04-25,discovery_72h,2026-04-22T00:00:00+00:00,2026-04-21 23:55:38+00:00,2026-04-25T21:00:00+00:00,ok,12,78,7a8ea20093783102cb937ea60a196d6ca0636c12c7cac372e839d8d2d960b5f6,raw/odds_totals/responses/ff9dfd69fa7205065e9e__discovery_72h__2026-04-21T23-55-38Z.json.gz,4198432,801568,40
ff9dfd69fa7205065e9e,UFC Fight Night: Sterling vs. Zalal,2026-04-25,entry,2026-04-24T21:00:00+00:00,2026-04-24 20:55:37+00:00,2026-04-25T21:00:00+00:00,ok,12,96,f8a302266bf857ace78adb1096cf73e51bbc256ba28b6e7a404af327623e68b1,raw/odds_totals/responses/ff9dfd69fa7205065e9e__entry__2026-04-24T20-55-37Z.json.gz,4198362,801638,40
ff9dfd69fa7205065e9e,UFC Fight Night: Sterling vs. Zalal,2026-04-25,close,2026-04-25T20:45:00+00:00,2026-04-25 20:40:37+00:00,2026-04-25T21:00:00+00:00,ok,12,106,34369ec832caa3e1daf881aa0d29dd7e5a3c9151d9236fd61e9de379376090f1,raw/odds_totals/responses/ff9dfd69fa7205065e9e__close__2026-04-25T20-40-37Z.json.gz,4198322,801678,40
fd85cf7c812e2779b8ba,UFC Fight Night: Della Maddalena vs. Prates,2026-05-02,discovery_72h,2026-04-29T00:00:00+00:00,2026-04-28 23:55:38+00:00,2026-05-02T08:00:00+00:00,ok,11,59,25583d9b42da39ffc5e3c4ea03017d1c6d8f117dba7de576c56c65cd6bcd6e28,raw/odds_totals/responses/fd85cf7c812e2779b8ba__discovery_72h__2026-04-28T23-55-38Z.json.gz,4198252,801748,40
