date,commence_time,promotion,event_title,event_id,fighter_a,fighter_b,odds_a,odds_b,market_prob_a,market_books,market_spread,best_odds_a,best_book_a,best_odds_b,best_book_b,weightclass,five_rounds,odds_source,capture_promotion,fetched_at,leader_prob_a,leader_books,follower_prob_a,follower_books
2026-09-20,2026-09-20T00:45:00Z,,MMA,aa7a874d175da620f7fa265b29b064c3,Marlon Vera,Charles Jourdain,180.0,-220.0,0.33790919,7,0.01576916,190.0,BetMGM,-212.0,BetOnline.ag,,0,the-odds-api-paired-book-devig-v1,ufc,2026-09-17T17:00:01Z,0.34707642,2,0.33763536,6
2026-09-20,2026-09-20T01:15:00Z,,MMA,f00933726f831e1aea9060837d70c555,Alonzo Menifield,Iwo Baraniewski,201.0,-250.0,0.31465517,7,0.0230343,220.0,BetMGM,-240.0,BetOnline.ag,,0,the-odds-api-paired-book-devig-v1,ufc,2026-09-17T17:00:01Z,0.31626506,2,0.31463096,6
2026-09-20,2026-09-20T01:45:00Z,,MMA,430372943e1a714088d294f9501e2c06,Gable Steveson,Sean Sharaf,-2500.0,1050.0,0.91706539,7,0.02012882,-2000.0,Caesars,1200.0,BetOnline.ag,,0,the-odds-api-paired-book-devig-v1,ufc,2026-09-17T17:00:01Z,0.92349831,2,0.91534333,6
2026-09-20,2026-09-20T02:15:00Z,,MMA,05b660335ff8c2960dd384c9739654f7,Patricio Pitbull,Dooho Choi,228.0,-278.0,0.29365701,5,0.01539449,230.0,Caesars,-275.0,BetOnline.ag,,0,the-odds-api-paired-book-devig-v1,ufc,2026-09-17T17:00:01Z,0.29365701,2,0.29318894,4
2026-09-20,2026-09-20T02:45:00Z,,MMA,9c81899bd5c97424298cb75824aa9b39,Arman Tsarukyan,Mauricio Ruffy,-350.0,270.0,0.74087161,7,0.0224192,-325.0,Caesars,290.0,Bovada,,0,the-odds-api-paired-book-devig-v1,ufc,2026-09-17T17:00:01Z,0.74546734,2,0.73749637,6
2026-09-20,2026-09-20T03:30:00Z,,MMA,097259d4c82c4ae646995fc8d665c410,Joshua Van,Alexandre Pantoja,-136.0,114.0,0.55065979,7,0.01701714,-133.0,BetOnline.ag,118.0,Caesars,,1,the-odds-api-paired-book-devig-v1,ufc,2026-09-17T17:00:01Z,0.55314175,2,0.55105045,6
2026-09-26,2026-09-26T18:00:00Z,,MMA,6f0a7aa6f088decf678edccd5db84fc5,Darren Till,Yoel Romero,-290.0,237.0,0.71476633,1,0.0,-290.0,BetOnline.ag,237.0,BetOnline.ag,,0,the-odds-api-paired-book-devig-v1,ufc,2026-09-17T17:00:01Z,0.71476633,1,,0
2026-10-04,2026-10-04T01:00:00Z,,MMA,96e3358cd42ab238e7b471c8fedc75f2,Deiveson Figueiredo,Payton Talbott,440.0,-675.0,0.17605634,5,0.02067878,505.0,BetOnline.ag,-625.0,BetRivers,,0,the-odds-api-paired-book-devig-v1,ufc,2026-09-17T17:00:01Z,0.15888779,1,0.17741364,4
2026-10-04,2026-10-04T04:30:00Z,,MMA,fbd72b9ed9f11e1f0180eaf505ea092f,Natalia Silva,Wang Cong,-210.0,170.0,0.64562569,5,0.02567146,-205.0,DraftKings,184.0,FanDuel,,1,the-odds-api-paired-book-devig-v1,ufc,2026-09-17T17:00:01Z,0.65478842,1,0.64517744,4
2026-10-25,2026-10-25T03:30:00Z,,MMA,434aefea124f696fec6cba7d9ec6f582,Petr Yan,Merab Dvalishvili,-180.0,145.0,0.61614825,5,0.01645109,-172.0,FanDuel,153.0,BetOnline.ag,,0,the-odds-api-paired-book-devig-v1,ufc,2026-09-17T17:00:01Z,0.61925483,1,0.6143662,4
