captured_at,event_id,commence_time,lead_minutes,fighter_a,fighter_b,odds_a,odds_b,market_prob_a,market_books,snapshot_kind,odds_source
2026-08-22T20:43:18Z,2a5f52a6a7d33606f861f3d4489d5cca,2026-08-22T21:30:00Z,46.7,Dakota Bush,Morquez Forest,-240.0,200.0,0.67990042,2,standardized_t30_window,the-odds-api-paired-book-devig-v1
2026-08-22T21:03:11Z,f3a279eb29a937d3e77d29d3a546c2d3,2026-08-22T21:40:00Z,36.8,Eoin Sheridan,James Vake,-610.0,460.0,0.82705258,2,standardized_t30_window,the-odds-api-paired-book-devig-v1
2026-08-22T21:03:11Z,038228122fc63c55832841739444063f,2026-08-22T21:45:00Z,41.8,Jackson McVey,Wes Schultz,-180.0,150.0,0.61713462,8,standardized_t30_window,the-odds-api-paired-book-devig-v1
2026-08-22T21:40:18Z,ee1e1cd5b51f58fdfcf54c37c895468a,2026-08-22T22:10:00Z,29.69,Gino van Steenis,Robert Watley,-170.0,152.0,0.61443941,2,standardized_t30_window,the-odds-api-paired-book-devig-v1
2026-08-22T21:40:18Z,5b18bbdd22533e90638a083a6e5939cd,2026-08-22T22:15:00Z,34.69,Gauge Young,Stan Dorsainvil,-190.0,160.0,0.62830044,7,standardized_t30_window,the-odds-api-paired-book-devig-v1
2026-08-22T22:00:44Z,b4e43089eb6b3a4806f094a746de61fb,2026-08-22T22:40:00Z,39.26,Natan Schulte,Makkasharip Zaynukov,142.0,-162.0,0.40360868,2,standardized_t30_window,the-odds-api-paired-book-devig-v1
2026-08-22T22:00:44Z,da9b4889587902d20f9bc83b06c759ab,2026-08-22T22:45:00Z,44.26,Márcio Barbosa,Ryan Kuse,-850.0,575.0,0.85794393,7,standardized_t30_window,the-odds-api-paired-book-devig-v1
2026-08-22T22:42:02Z,c35fe773a6172aac0a95c4358fb1b7f3,2026-08-22T23:20:00Z,37.95,Shamil Gaziev,Kennedy Nzechukwu,-125.0,105.0,0.53246753,8,standardized_t30_window,the-odds-api-paired-book-devig-v1
2026-08-22T23:01:59Z,1858953fd98313551819c53a10147414,2026-08-22T23:40:00Z,38.0,Movsar Ibragimov,Javid Basharat,198.0,-233.0,0.32465968,2,standardized_t30_window,the-odds-api-paired-book-devig-v1
2026-08-22T23:01:59Z,7152a2ed6c39377b4d29dce4fc635ab2,2026-08-22T23:45:00Z,43.0,Jamall Emmers,Lerryan Douglas,310.0,-398.0,0.23701474,8,standardized_t30_window,the-odds-api-paired-book-devig-v1
2026-08-22T23:38:26Z,8ec5ce1644e81511d4c6fd2f55ae5da1,2026-08-23T00:00:00Z,21.56,Merab Dvalishvili,Henry Cejudo,-141.0,121.0,0.56388773,1,standardized_t30_window,the-odds-api-paired-book-devig-v1
2026-08-22T23:38:26Z,37dd01661c351a2d01f5c0a1c703e96a,2026-08-23T00:00:00Z,21.56,Tyron Woodley,Joaquin Buckley,-121.0,101.0,0.52392236,1,standardized_t30_window,the-odds-api-paired-book-devig-v1
2026-08-22T23:38:26Z,d55e2963b6b311659d26a93397b1ce93,2026-08-23T00:10:00Z,31.56,Magomed Magomedov,Daniel Marcos,130.0,-150.0,0.41889692,2,standardized_t30_window,the-odds-api-paired-book-devig-v1
2026-08-22T23:38:26Z,84ce25a06c07939a9152fcfb93693541,2026-08-23T00:15:00Z,36.56,Anthony Wint,Terrance Chatman,-1100.0,700.0,0.87657009,8,standardized_t30_window,the-odds-api-paired-book-devig-v1
2026-08-23T00:00:14Z,e30873760eee92b484a4cd4e20694f94,2026-08-23T00:35:00Z,34.76,Marcirley Alves da Silva,Nkosi Ndebele,-150.0,150.0,0.59766147,2,standardized_t30_window,the-odds-api-paired-book-devig-v1
2026-08-23T00:00:14Z,0e0e14fd9105a24d4a6e8d2d68b00d39,2026-08-23T00:45:00Z,44.76,Carli Judice,Jeisla Chaves,-625.0,450.0,0.82416505,8,standardized_t30_window,the-odds-api-paired-book-devig-v1
