date,fighter_a,fighter_b,pre_prob,pre_books,pre_hours,post_prob,post_books,post_hours,move_points,abs_move,missed_weight
2026-08-08,Cheyden Leialoha,Robbie Ring,0.6067415730337079,2,54.639583333333334,0.6912320936300881,3,19.687083333333334,8.449052059638017,8.449052059638017,
2026-08-08,Michael Boylan,Landry Ward,0.34198882752919835,2,54.10444444444445,0.2800546448087431,3,16.654166666666665,-6.193418272045525,6.193418272045525,
2026-08-08,Denis Goltsov,Hasan Mezhiev,0.7510464860101345,2,54.639583333333334,0.8044195387576609,2,4.807916666666667,5.337305274752646,5.337305274752646,
2026-07-31,Sean Gauci,Allan Begosso,0.6516393442622951,2,55.09888888888889,0.7016227228024166,2,12.890833333333333,4.9983378540121475,4.9983378540121475,
2026-08-08,Lewis McGrillen,Brandon Lewis,0.823943661971831,2,57.31916666666667,0.8735632183908045,3,4.108333333333333,4.961955641897353,4.961955641897353,
2026-08-07,Jonathan Martin,Wilson Lopshire,0.5054524471242169,2,43.90777777777778,0.5522161505768063,3,15.820833333333333,4.67637034525894,4.67637034525894,
2026-08-08,Louie Sutherland,Jose Montanha,0.5959689065044398,8,104.88111111111111,0.6403745896891292,13,24.608333333333334,4.440568318468941,4.440568318468941,
2026-08-01,Jovan Leka,Alexander Poppeck,0.6623646411894879,8,78.78986111111112,0.7022729861372217,8,8.31,3.9908344947733765,3.9908344947733765,
2026-08-08,Josh Fremd,Jhony Gregory,0.7348490228383138,2,54.639583333333334,0.7689463955637708,4,18.4875,3.4097372725456987,3.4097372725456987,
2026-08-01,Mateusz Rebecki,Kyle Prepolec,0.8088235294117646,8,78.78986111111112,0.84,8,9.143333333333333,3.117647058823536,3.117647058823536,
2026-07-31,Usman Nurmagomedov,Archie Colgan,0.8045602605863192,2,55.09888888888889,0.7736466962049702,2,27.14527777777778,-3.091356438134907,3.091356438134907,
2026-08-07,Trukon Carson,Trey Waters,0.3451683445716778,2,43.074444444444445,0.3146067415730336,2,14.9875,-3.056160299864419,3.056160299864419,
2026-08-08,Dovletdzhan Yagshimuradov,Simeon Powell,0.6219281663516067,2,54.639583333333334,0.5965276928719893,4,6.474583333333333,-2.540047347961749,2.540047347961749,
2026-08-07,Valentin Moldavsky,Bruno Cappelozza,0.7710314169599676,2,44.324444444444445,0.7954866008462623,3,16.2375,2.445518388629475,2.445518388629475,
2026-08-09,Ty Miller,Billy Goff,0.7440690150970525,8,105.34944444444444,0.7685185185185185,19,25.608333333333334,2.4449503421466012,2.4449503421466012,
2026-08-01,Borislav Nikolić,Mark Vologdin,0.6211096075778079,7,70.78986111111112,0.644729178800233,7,7.685555555555555,2.3619571222425084,2.3619571222425084,
2026-07-31,Jonathan Piersma,Omar El Dafrawy,0.5915279878971256,2,55.09888888888889,0.611589452528029,2,12.390833333333333,2.0061464630903414,2.0061464630903414,
2026-07-31,Raufeon Stots,Lazaro Dayron,0.3932584269662921,2,55.09888888888889,0.4130407830758671,2,13.390833333333333,1.9782356109575017,1.9782356109575017,
2026-08-01,Nina Milošević,Hailey Cowan,0.7819063004846527,7,71.48083333333334,0.7999999999999999,7,15.405416666666667,1.8093699515347228,1.8093699515347228,
2026-08-01,L'udovit Klein,Tofiq Musayev,0.6781609195402298,8,78.78986111111112,0.6962145571008422,8,10.643333333333333,1.80536375606124,1.80536375606124,
