promotion,shared_fighters,mean_gap_vs_ufc,median_gap_vs_ufc,reportable,declared_tier
AOW,1,1.8788,1.8788,False,D
CLFC,1,1.8971,1.8971,False,D
Professional Combat Sambo,1,1.8971,1.8971,False,D
Alpha One Sports,1,1.8971,1.8971,False,D
LXF,1,2.0149,2.0149,False,D
FG,1,2.0794,2.0794,False,D
CC,1,2.0794,2.0794,False,D
Eternal,1,2.0794,2.0794,False,D
TFC,1,2.1203,2.1203,False,D
FAC,1,2.1972,2.1972,False,D
A&A Fight Time Promotions,1,2.1972,2.1972,False,D
GF,1,2.1972,2.1972,False,D
Trophy,1,2.1972,2.1972,False,D
NG,1,2.1972,2.1972,False,D
GMA,1,2.1972,2.1972,False,D
Combat Zone,2,2.3411,2.3411,False,D
Cage,1,2.3514,2.3514,False,D
FWC,1,2.3514,2.3514,False,D
GFA,1,2.3514,2.3514,False,D
PFC,2,2.4095,2.1831,False,D
CFC,1,2.4567,2.4567,False,D
AFC,3,2.4728,2.4849,False,D
IHC,1,2.4849,2.4849,False,D
GC,1,2.4849,2.4849,False,D
FCC,1,2.4849,2.4849,False,D
EC,1,2.6391,2.6391,False,D
MITC,1,2.7081,2.7081,False,D
TNT Fight Series,1,2.7081,2.7081,False,D
MFL,1,2.7081,2.7081,False,D
Shamrock,1,2.7081,2.7081,False,D
SFC,1,2.7081,2.7081,False,D
Cageside Promotions / KCFA,1,2.7081,2.7081,False,D
Pancrase,1,2.7726,2.7726,False,D
BFW,1,2.8904,2.8904,False,D
Fight Nights,1,3.1781,3.1781,False,D
XFO,1,3.4657,3.4657,False,D
