promotion,bouts,fighters,mean_rating,median_rating,p75_rating,vs_ufc,ratable
IQFC,1,2,0.4327,0.4327,0.5817,-0.044,False
Kingdom Fighting,1,2,0.4321,0.4321,0.5286,-0.0446,False
Rose,1,2,0.4314,0.4314,0.4546,-0.0453,False
VHTHFF,2,4,0.4308,0.1602,0.8505,-0.0459,False
KSW,77,92,0.4301,0.5025,0.7338,-0.0466,True
Cruzeiro Fight MMA,1,2,0.4299,0.4299,0.4536,-0.0468,False
SHP,5,9,0.4296,0.355,0.678,-0.0471,False
Elite,1,2,0.429,0.429,0.7537,-0.0477,False
Demolidor Fight,2,3,0.429,0.1443,0.4428,-0.0477,False
War of Titans,3,6,0.4289,0.1825,0.7889,-0.0478,False
WKG & M-1 Global,2,4,0.4283,0.1609,0.7752,-0.0484,False
SDC MMA,2,4,0.4281,0.4469,0.7244,-0.0486,False
Legends of Fight,1,2,0.4271,0.4271,0.5753,-0.0496,False
RCS,4,6,0.4258,0.4827,1.0509,-0.0509,False
CCNE,1,2,0.4251,0.4251,0.4503,-0.0516,False
Money Moicano MMA,1,2,0.4249,0.4249,0.4502,-0.0518,False
KARMMA,1,2,0.4249,0.4249,0.4502,-0.0518,False
ICE FC,10,18,0.4239,0.2895,1.0918,-0.0528,False
Ultimate Event Promotions,1,2,0.4238,0.4238,0.8896,-0.0529,False
NAFC,16,20,0.4236,0.4572,0.8586,-0.0531,False
NP Fight,33,40,0.4228,0.4181,0.7887,-0.0539,True
Reign,2,4,0.422,0.0952,0.8423,-0.0547,False
WFC 24 / Brave CF,1,2,0.4206,0.4206,0.7421,-0.0561,False
FHMMA,2,4,0.4203,0.3175,0.5503,-0.0564,False
Rocket Combat Sports,2,4,0.4202,0.415,1.057,-0.0565,False
Infinity MMA,1,2,0.4191,0.4191,0.5761,-0.0576,False
Combat Zone,25,31,0.4156,0.3251,0.9309,-0.0611,True
Evolution Sports Expo,2,3,0.4153,0.6213,0.6989,-0.0614,False
EFN,17,31,0.4146,0.4144,0.7235,-0.0621,False
Brawlers Ball MMA,1,2,0.4132,0.4132,0.732,-0.0635,False
PNFC,1,2,0.413,0.413,0.5049,-0.0637,False
XFN,68,91,0.4127,0.3482,0.9285,-0.064,True
Supreme,1,2,0.4121,0.4121,0.7305,-0.0646,False
Donnie Hair's Live Cage Fights,1,2,0.4121,0.4121,0.7305,-0.0646,False
Fight Time,1,2,0.4121,0.4121,0.7305,-0.0646,False
Combate Global,41,50,0.412,0.3124,0.6735,-0.0647,True
Paulista Fight,1,2,0.4117,0.4117,0.73,-0.065,False
Legion FC,2,4,0.4111,0.3826,1.0139,-0.0656,False
FEFoMP,11,17,0.4108,0.4651,0.5839,-0.0659,False
RTP,4,8,0.4103,0.2827,0.649,-0.0664,False
Fightchallenge,1,2,0.41,0.41,0.4402,-0.0667,False
AP,1,2,0.41,0.41,0.4402,-0.0667,False
National Fighting Championship,13,22,0.4091,0.4523,0.8837,-0.0676,False
King of Warriors MMA,2,4,0.4069,0.5898,0.8026,-0.0698,False
Ultimate Impact,3,6,0.4065,0.3277,0.5411,-0.0702,False
Strikeforce / M-1 Global,2,4,0.4063,0.6966,0.7115,-0.0704,False
K1 Empress League,1,2,0.4053,0.4053,0.4371,-0.0714,False
NSC,3,5,0.4037,0.448,0.7285,-0.073,False
CLFC,16,23,0.4033,0.51,0.8782,-0.0734,False
CWA,30,39,0.4031,0.4591,0.8697,-0.0736,True
XFO FN,1,2,0.4017,0.4017,0.7162,-0.075,False
Maverick,8,11,0.4011,0.3562,0.4723,-0.0756,False
Urijah Faber's A1 Combat,7,13,0.4009,0.4594,0.6685,-0.0758,False
360 Promotion,3,6,0.4001,0.0242,0.7491,-0.0766,False
NOT,1,2,0.3996,0.3996,0.8372,-0.0771,False
WOCS Challenge,1,2,0.3991,0.3991,0.7127,-0.0776,False
WMMAF,1,2,0.3984,0.3984,0.7118,-0.0783,False
ACL,6,8,0.3977,0.4817,0.8086,-0.079,False
PBT,1,2,0.3975,0.3975,0.4416,-0.0792,False
Fight Fusion,2,4,0.3971,0.5602,0.6097,-0.0796,False
FSC,33,53,0.3964,0.1744,1.0263,-0.0803,True
IWCC,1,2,0.3953,0.3953,0.7075,-0.0814,False
Zuri,1,2,0.3953,0.3953,0.7075,-0.0814,False
Northwest Fight Promotions,2,4,0.3948,0.2001,0.7959,-0.0819,False
NOG,1,2,0.3944,0.3944,0.7063,-0.0823,False
Lockdown FC,1,2,0.3943,0.3943,0.4297,-0.0824,False
Contenders East Anglia,7,12,0.3939,0.1265,0.9889,-0.0828,False
Alash Pride,7,12,0.3937,0.4103,0.65,-0.083,False
MMAA,11,17,0.393,-0.0392,1.4301,-0.0837,False
Fight Nights,24,37,0.3925,0.5019,0.8502,-0.0842,False
SFT,43,59,0.3924,0.4709,0.7222,-0.0843,True
Coronel Fight,1,2,0.392,0.392,0.4281,-0.0847,False
KCC,2,3,0.3918,0.3918,1.0136,-0.0849,False
Bear River,2,4,0.3911,0.2273,0.8239,-0.0856,False
EMC,10,16,0.3911,0.6414,0.8532,-0.0856,False
ZLF,1,2,0.3904,0.3904,0.809,-0.0863,False
K-1,5,8,0.39,0.4761,0.7932,-0.0867,False
Flawless,2,3,0.3897,0.3771,0.5682,-0.087,False
BWL,1,2,0.3896,0.3896,0.5617,-0.0871,False
HST,1,2,0.3883,0.3883,0.4406,-0.0884,False
Bali MMA,5,6,0.3883,0.1855,1.0167,-0.0884,False
BCM Promotions,4,7,0.3874,0.4387,0.5253,-0.0893,False
IMMAA,3,4,0.3867,0.6031,0.6688,-0.09,False
CFM,2,4,0.3857,-0.0354,0.6936,-0.091,False
Industrials,2,4,0.3838,0.2506,0.7464,-0.0929,False
Hoyer's Productions,2,4,0.3825,0.5531,0.6154,-0.0942,False
Honor,2,4,0.3824,0.0086,0.5787,-0.0943,False
Cage Fighting Championships,1,2,0.3814,0.3814,0.6885,-0.0953,False
Caged Thunder,1,2,0.3814,0.3814,0.6885,-0.0953,False
Nordic Fighting Championship,2,4,0.3808,0.4396,0.46,-0.0959,False
MMA Pro League,1,2,0.3802,0.3802,0.4202,-0.0965,False
Shooto Brazil,60,86,0.3799,0.3887,0.7475,-0.0968,True
MNA MMA Circuit,1,2,0.3799,0.3799,0.4254,-0.0968,False
MMA Live,4,6,0.3784,0.1525,0.7526,-0.0983,False
Cage Club,1,2,0.3778,0.3778,0.4137,-0.0989,False
Fightway Challenge,1,2,0.3776,0.3776,0.6832,-0.0991,False
iFC,3,6,0.3772,0.2986,0.8348,-0.0995,False
NS,1,2,0.3772,0.3772,0.6151,-0.0995,False
Arena,4,6,0.3764,0.5709,1.1518,-0.1003,False
CATC,1,2,0.3764,0.3764,0.4946,-0.1003,False
Sparta Combat League,2,4,0.3761,0.3713,0.7762,-0.1006,False
GFC,64,103,0.3741,0.266,0.6919,-0.1026,True
COTT,1,2,0.3728,0.3728,0.5165,-0.1039,False
Power Fight,8,8,0.3718,0.5912,0.649,-0.1049,False
CKFC,7,8,0.3718,0.7285,0.876,-0.1049,False
RMMAF Series,1,2,0.3714,0.3714,0.6747,-0.1053,False
Citadel,1,2,0.3706,0.3706,0.4137,-0.1061,False
OSE,1,2,0.3706,0.3706,0.4137,-0.1061,False
Iron Man MMA,4,6,0.3699,0.5224,0.8865,-0.1068,False
Game of Cage,3,5,0.3698,0.1447,0.3849,-0.1069,False
ReciFight MMA,2,3,0.3697,0.4117,1.0483,-0.107,False
WFCA,36,51,0.3693,0.2498,0.5671,-0.1074,True
Affliction,2,3,0.3691,0.5335,0.6908,-0.1076,False
G-Force Fights,1,2,0.3688,0.3688,0.4125,-0.1079,False
PA Caged Combat,1,2,0.3688,0.3688,0.4125,-0.1079,False
Bonecrunch Fighting,1,2,0.3688,0.3688,0.4125,-0.1079,False
LITC,2,4,0.3679,0.5029,0.5621,-0.1088,False
BGC,2,4,0.3665,0.4768,0.644,-0.1102,False
Gladiators of the Cage,7,10,0.3662,0.6404,0.6825,-0.1105,False
BFMMA,2,3,0.3662,0.334,0.7189,-0.1105,False
SAS,1,2,0.3658,0.3658,0.5473,-0.1109,False
AOS5,2,4,0.3654,0.5377,0.8387,-0.1113,False
AMMA FC,3,5,0.3648,0.415,0.4668,-0.1119,False
Xtreme Caged Combat,3,6,0.3646,0.1956,0.5745,-0.1121,False
KZMMAF,20,24,0.3643,0.0354,0.406,-0.1124,False
Eternal,36,44,0.3635,0.4373,1.0018,-0.1132,True
Fight Nights Global,1,2,0.3631,0.3631,0.522,-0.1136,False
BFFC,2,4,0.3628,0.3257,0.9197,-0.1139,False
FNM,3,5,0.3623,0.0355,1.2872,-0.1144,False
RSC,3,5,0.362,0.7801,0.7869,-0.1147,False
Fight Night,2,4,0.362,0.1658,0.7362,-0.1147,False
NFC,61,88,0.3615,0.382,0.7465,-0.1152,True
VXFC,3,6,0.3615,0.2267,0.5302,-0.1152,False
Metanoia Fight Combat,2,4,0.3614,0.489,0.6974,-0.1153,False
OFC 64 X MFP,1,2,0.3612,0.3612,0.4074,-0.1155,False
UFCA Combat,2,4,0.361,0.2953,0.885,-0.1157,False
NFG,2,4,0.3603,0.272,0.8513,-0.1164,False
Jue Cheng King,10,13,0.3596,0.5546,0.5546,-0.1171,False
F2F,1,2,0.3592,0.3592,0.6582,-0.1175,False
Elite Boxing Germany,1,2,0.3592,0.3592,0.6582,-0.1175,False
NP Fight Night,3,6,0.359,0.3285,0.6422,-0.1177,False
Lion's Fights,1,2,0.3586,0.3586,1.1805,-0.1181,False
Siberian Fighter,2,4,0.3577,0.4534,0.5451,-0.119,False
Bushido Kazakhstan,1,2,0.3571,0.3571,0.4487,-0.1196,False
Ultra FC,2,3,0.3559,0.5609,0.5991,-0.1208,False
Fighting with the Stars,1,2,0.3554,0.3554,0.8411,-0.1213,False
Aeternum,1,2,0.3549,0.3549,0.7399,-0.1218,False
GLFC,2,4,0.3548,0.3119,0.899,-0.1219,False
Ares,30,39,0.3545,0.4665,0.6099,-0.1222,True
HFL,10,11,0.3542,0.7465,0.7465,-0.1225,False
PLMMA,15,21,0.354,0.5048,0.7602,-0.1227,False
VCS,2,4,0.354,0.0712,0.7124,-0.1227,False
Lanzarote Arena,1,2,0.3538,0.3538,0.4024,-0.1229,False
Conflict,5,10,0.3533,0.3744,0.7823,-0.1234,False
Aspera,9,17,0.3531,0.2823,0.8,-0.1236,False
Staredown FC,5,6,0.3526,0.3526,0.9456,-0.1241,False
Tuff-N-Uff,42,63,0.3518,0.2882,0.8508,-0.1249,True
Human Project,1,2,0.3504,0.3504,0.4216,-0.1263,False
Osimas,1,2,0.3504,0.3504,0.5198,-0.1263,False
CFFAC,1,2,0.3497,0.3497,0.3997,-0.127,False
Champions Fight,3,5,0.3496,0.6363,0.7236,-0.1271,False
WOCS,33,42,0.349,0.4803,0.7537,-0.1277,True
Hamara MMA,4,8,0.3485,0.4053,0.4793,-0.1282,False
Breakthrough,7,12,0.3483,0.0795,1.049,-0.1284,False
MKC,1,2,0.3482,0.3482,0.4996,-0.1285,False
El Mas Fuerte,1,2,0.3482,0.3482,0.4996,-0.1285,False
CFA,2,4,0.3471,0.266,0.503,-0.1296,False
FoG,12,18,0.3465,0.648,0.8361,-0.1302,False
FCK,4,7,0.3448,0.3912,0.6159,-0.1319,False
Eagles,21,25,0.3447,0.3495,0.8392,-0.132,False
Senshi MMA,2,3,0.3432,0.3432,0.4475,-0.1335,False
Arena Combate,3,4,0.3422,0.4117,1.0483,-0.1345,False
OFL,2,4,0.3419,0.3948,0.7672,-0.1348,False
Vision,1,2,0.3415,0.3415,0.5064,-0.1352,False
HXMMA,20,31,0.3403,0.2562,0.5977,-0.1364,False
FFL,2,4,0.3396,0.0985,0.6466,-0.1371,False
Iron Tiger FS,1,2,0.3388,0.3388,0.3924,-0.1379,False
LUX,7,11,0.3385,0.4116,0.5985,-0.1382,False
Midwest Fight League,10,13,0.3378,0.2042,0.6764,-0.1389,False
FNC,20,31,0.3369,0.2494,0.7164,-0.1398,False
Cage Bros,4,6,0.3361,0.5655,0.6067,-0.1406,False
ROF,3,6,0.336,0.3294,0.7689,-0.1407,False
Shinobi War,7,13,0.3359,0.1767,0.3969,-0.1408,False
Mglebi,4,6,0.3358,0.4165,0.6122,-0.1409,False
Adrenalina MMA,1,2,0.3356,0.3356,0.6258,-0.1411,False
Gallus FC,2,3,0.335,0.5397,0.564,-0.1417,False
NFC Contenders,2,4,0.3347,0.2224,0.8566,-0.142,False
ACC,5,6,0.3342,-0.0877,1.2085,-0.1425,False
WJF,2,4,0.334,0.4165,0.5473,-0.1427,False
NCF,2,3,0.3333,0.4552,0.5278,-0.1434,False
ASF,1,2,0.3333,0.3333,0.3378,-0.1434,False
Reality Fighting,14,21,0.3329,0.3454,0.755,-0.1438,False
WSOF-GC,4,7,0.3328,0.2922,0.8493,-0.1439,False
SLF,4,5,0.3327,0.4117,1.0483,-0.144,False
CRC,6,10,0.3315,0.0344,0.6602,-0.1452,False
MMA Brazil Tour,2,4,0.3313,0.392,0.5492,-0.1454,False
FWC,4,7,0.3312,0.4645,0.8025,-0.1455,False
BA,10,13,0.3309,0.4495,0.7338,-0.1458,False
GCS,1,2,0.3307,0.3307,0.6192,-0.146,False
Rumble on the Ridge,1,2,0.3307,0.3307,0.4718,-0.146,False
RUF,7,12,0.3307,0.3469,0.7504,-0.146,False
Vale Tudo Japan,3,6,0.33,0.479,0.5243,-0.1467,False
DCE,1,2,0.3297,0.3297,0.6179,-0.147,False
Real Warriors League,1,2,0.3297,0.3297,0.6179,-0.147,False
The Ultimate Warrior,2,3,0.3297,0.3297,0.906,-0.147,False
Superacao Fight,1,2,0.3284,0.3284,0.3854,-0.1483,False
USWF,8,9,0.3279,0.6908,0.6908,-0.1488,False
Ignite Fights,15,23,0.327,0.1687,0.6618,-0.1497,False
R3,1,2,0.3257,0.3257,0.3836,-0.151,False
MMAB,7,9,0.3244,0.063,0.4475,-0.1523,False
1° Round Combat,5,8,0.3237,0.2817,0.4685,-0.153,False
RITC,16,25,0.3234,-0.1216,1.2841,-0.1533,False
Phoenix Fighting Championship,6,10,0.3221,0.4114,0.722,-0.1546,False
Hamr Gym,2,4,0.3211,0.2346,0.5576,-0.1556,False
SFG,2,4,0.3209,0.313,1.2964,-0.1558,False
IFC MMA,9,15,0.3207,0.071,0.7487,-0.156,False
CDL Promotions,1,2,0.3206,0.3206,0.7057,-0.1561,False
Spartacus MMA,13,22,0.3204,0.2761,0.6672,-0.1563,False
FFH,2,4,0.3203,0.469,0.7623,-0.1564,False
Arena Fight,2,4,0.3195,0.3187,0.8874,-0.1572,False
Kansas Combat Coalition,1,2,0.3191,0.3191,0.6034,-0.1576,False
Danger-Fire Promotions,1,2,0.3191,0.3191,0.6034,-0.1576,False
Ludus Fight League,1,2,0.3191,0.3191,0.6034,-0.1576,False
Blue Corner Promotions,1,2,0.3191,0.3191,0.6034,-0.1576,False
CK,1,2,0.319,0.319,0.6033,-0.1577,False
SMF,2,3,0.3185,0.3185,0.8865,-0.1582,False
CDL Fight,1,2,0.3183,0.3183,0.7732,-0.1584,False
Babilon,35,45,0.3172,0.3176,0.6948,-0.1595,True
HRMMA,32,34,0.3168,0.1503,1.0173,-0.1599,True
Savage Fight Night,1,2,0.3162,0.3162,0.3772,-0.1605,False
The Zone,4,8,0.3156,0.5518,0.7008,-0.1611,False
Mile High MMAyhem,2,4,0.3155,0.2613,0.4503,-0.1612,False
Throne,2,4,0.3154,0.534,0.5947,-0.1613,False
Victory Cage Fighting Championships,3,4,0.3151,0.557,0.6846,-0.1616,False
RDMMA,3,6,0.3151,-0.0388,0.2887,-0.1616,False
Contenders,1,2,0.3149,0.3149,0.3738,-0.1618,False
WOC,6,10,0.3138,0.4362,0.6489,-0.1629,False
CageSport MMA,6,10,0.3137,0.3737,0.6853,-0.163,False
UWC,11,15,0.3133,0.0977,1.2095,-0.1634,False
SCDMMA,1,2,0.3133,0.3133,0.5955,-0.1634,False
Xtreme Fighting Championships,4,7,0.3133,0.4173,0.6064,-0.1634,False
Minas Combat,1,2,0.3133,0.3133,0.5955,-0.1634,False
Naiza Jekpe-Jek,1,2,0.3132,0.3132,0.3752,-0.1635,False
USC,5,10,0.313,0.5952,0.8965,-0.1637,False
EMS,1,2,0.3128,0.3128,0.5948,-0.1639,False
NOP,1,2,0.3128,0.3128,0.5948,-0.1639,False
WF,2,4,0.3125,0.3061,0.5303,-0.1642,False
Dragon FC,1,2,0.3124,0.3124,0.5942,-0.1643,False
Chinese Kung Fu Championships,2,3,0.3124,0.3124,0.876,-0.1643,False
WMA,1,2,0.3124,0.3124,0.5942,-0.1643,False
ACA YE,4,8,0.3119,0.401,0.4306,-0.1648,False
NOVA,2,4,0.3118,0.5655,0.6398,-0.1649,False
FFIT,14,18,0.3117,0.1358,0.8135,-0.165,False
SWG,1,2,0.3115,0.3115,0.4816,-0.1652,False
Rize FC,2,4,0.3112,0.3973,0.637,-0.1655,False
AOS6,2,4,0.3101,0.2295,0.5526,-0.1666,False
NG,11,17,0.3094,0.0959,0.9096,-0.1673,False
UFB,1,2,0.3081,0.3081,0.5883,-0.1686,False
Nanbudo Bih,1,2,0.3081,0.3081,0.5883,-0.1686,False
Trboulje,1,2,0.3081,0.3081,0.5883,-0.1686,False
Kokoro Cup,1,2,0.3077,0.3077,0.3174,-0.169,False
AGC,4,7,0.3077,0.3276,0.8066,-0.169,False
Fight of Gladiators,7,13,0.3076,0.2111,0.8013,-0.1691,False
Tayta,2,3,0.3073,0.5115,0.5175,-0.1694,False
Combat Quest,4,6,0.3066,0.557,0.5756,-0.1701,False
Cageside Promotions / KCFA,6,9,0.3063,0.2497,0.728,-0.1704,False
Xplosion,1,2,0.3059,0.3059,0.5853,-0.1708,False
Sengoku,2,3,0.3055,0.3283,0.3687,-0.1712,False
Octagon Promotion,17,28,0.3053,0.2578,0.6674,-0.1714,False
CWFC,39,59,0.3053,0.3007,0.6956,-0.1714,True
Soldado Combat,9,15,0.3051,0.3672,0.5358,-0.1716,False
BPN,3,5,0.3045,0.3081,0.8686,-0.1722,False
AOS8,2,4,0.3044,0.1955,0.5526,-0.1723,False
WSOF,10,18,0.3038,0.3726,0.6369,-0.1729,False
Ox MMA / Revolucao MMA,2,4,0.3037,0.2981,0.3978,-0.173,False
XFC,19,31,0.3033,0.226,0.8014,-0.1734,False
IFC WC,7,8,0.303,0.6318,0.6908,-0.1737,False
SSCC,3,4,0.3023,0.3023,0.8586,-0.1744,False
Driller Promotions / SEG,1,2,0.3023,0.3023,0.5804,-0.1744,False
Knock-Out MMA,1,2,0.3021,0.3021,0.5802,-0.1746,False
XKO,21,24,0.3007,0.1037,0.9077,-0.176,False
EP,1,2,0.3007,0.3007,0.4958,-0.176,False
Hybrid Combat,1,2,0.3005,0.3005,0.4161,-0.1762,False
CCC,8,12,0.3002,0.2548,0.6504,-0.1765,False
FEN,35,48,0.2999,0.3673,0.7191,-0.1768,True
XCage,3,4,0.2994,0.2884,0.5915,-0.1773,False
Central Coast Fighting Championship,1,2,0.2992,0.2992,0.4814,-0.1775,False
Future MMA,5,10,0.2987,0.482,0.5283,-0.178,False
GEFC,5,8,0.2985,-0.0864,1.0748,-0.1782,False
IM,1,2,0.2982,0.2982,0.3112,-0.1785,False
War of Champions,1,2,0.298,0.298,0.5746,-0.1787,False
Full House,1,2,0.298,0.298,0.5746,-0.1787,False
CMMARO,1,2,0.298,0.298,0.5746,-0.1787,False
Undisputed Fight Series,1,2,0.298,0.298,0.5746,-0.1787,False
Aftershock,1,2,0.298,0.298,0.5746,-0.1787,False
Ponte Nova Fight,1,2,0.298,0.298,0.5746,-0.1787,False
SFL,1,2,0.298,0.298,0.5746,-0.1787,False
Troia,1,2,0.2969,0.2969,0.5731,-0.1798,False
Showdown Fights,1,2,0.2963,0.2963,0.3562,-0.1804,False
Grachan / WCF,2,3,0.2957,0.3574,0.4702,-0.181,False
Caveam,3,6,0.2955,0.1088,0.5416,-0.1812,False
Core,1,2,0.2953,0.2953,0.3632,-0.1814,False
BTC,8,12,0.2949,0.2944,0.4632,-0.1818,False
Bison Kombat,4,8,0.2944,0.2998,0.4657,-0.1823,False
Jennifer Ireland Foundation,2,4,0.2942,0.4007,0.5979,-0.1825,False
ABG Promotions,2,4,0.2939,0.2159,0.7833,-0.1828,False
Driller Promotions,8,12,0.2937,0.4475,0.7285,-0.183,False
IHC,3,5,0.2933,0.3162,0.7236,-0.1834,False
CP,1,2,0.2923,0.2923,0.5668,-0.1844,False
Nitrix Fight Evolution,1,2,0.2923,0.2923,0.5668,-0.1844,False
OFN,1,2,0.2923,0.2923,0.5668,-0.1844,False
Fair,2,4,0.2911,0.2694,0.7464,-0.1856,False
SCL,29,37,0.2901,0.2102,0.8119,-0.1866,True
XMMA,10,17,0.2893,0.1523,0.8309,-0.1874,False
Spar Star Promotions,13,18,0.2893,0.0321,0.4053,-0.1874,False
CBAM,1,2,0.289,0.289,0.5623,-0.1877,False
Panama Fight League,10,11,0.289,0.3343,0.8082,-0.1877,False
UI,8,12,0.2882,0.0067,0.7288,-0.1885,False
BFS,8,16,0.2875,0.4458,0.832,-0.1892,False
ABA Fighting Championship,3,5,0.2866,0.1887,0.5546,-0.1901,False
KOK,5,8,0.2857,0.2194,1.1524,-0.191,False
Deep,10,14,0.2856,0.3574,0.7177,-0.1911,False
FAC,12,21,0.2851,0.2989,0.8877,-0.1916,False
BH Fight,7,9,0.2849,0.6363,0.7236,-0.1918,False
Northwest League of Combat Sambo,6,8,0.2844,0.3501,0.4705,-0.1923,False
CWI,2,3,0.2836,0.2836,0.8263,-0.1931,False
Rudis FC,1,2,0.2836,0.2836,0.5549,-0.1931,False
Invictos Team,2,4,0.2834,0.3376,0.5174,-0.1933,False
Impact,2,4,0.2825,0.4215,0.5024,-0.1942,False
EBD,9,14,0.2824,0.0374,0.8946,-0.1943,False
Spartanos Fight,3,6,0.2823,0.3566,0.4455,-0.1944,False
DPP,1,2,0.2819,0.2819,0.5527,-0.1948,False
TU,3,5,0.2818,0.4541,0.5841,-0.1949,False
Sprawl & Brawl,3,6,0.2811,0.1011,0.5644,-0.1956,False
NYFE,12,15,0.281,0.4359,0.5022,-0.1957,False
Charity Fight,1,2,0.2805,0.2805,0.281,-0.1962,False
MMA International,1,2,0.2795,0.2795,0.5978,-0.1972,False
IWC,2,3,0.2793,0.2793,0.8189,-0.1974,False
MMADF,5,7,0.2791,0.1012,0.3398,-0.1976,False
OMMAF,4,7,0.2787,0.3655,0.3734,-0.198,False
RXF 36 / Brave CF,1,2,0.2781,0.2781,0.3478,-0.1986,False
Gladiators Fight,1,2,0.2779,0.2779,0.3516,-0.1988,False
MCM,1,2,0.2779,0.2779,0.3516,-0.1988,False
Oklahoma KO,2,3,0.2775,0.4677,0.4746,-0.1992,False
CWB Fight League,1,2,0.2772,0.2772,0.5463,-0.1995,False
Akuma,11,19,0.277,0.3591,0.542,-0.1997,False
X1 Kombat,7,10,0.2767,0.2479,0.7236,-0.2,False
Adrenaline,3,4,0.2758,0.5489,0.5792,-0.2009,False
FGAMM,1,2,0.2753,0.2753,0.5437,-0.2014,False
Night of Champions,2,4,0.275,0.387,0.5251,-0.2017,False
LFC,42,63,0.2744,0.1467,0.7445,-0.2023,True
FCB,3,6,0.2744,0.1726,0.6003,-0.2023,False
KOMMA,1,2,0.2731,0.2731,0.5407,-0.2036,False
ICW,1,2,0.2731,0.2731,0.5407,-0.2036,False
LXMMA,2,3,0.273,0.273,0.8082,-0.2037,False
CRF,3,4,0.273,0.273,0.8082,-0.2037,False
GOAT,1,2,0.273,0.273,0.5406,-0.2037,False
BKO Club,4,5,0.273,0.273,0.8082,-0.2037,False
BVN,1,2,0.273,0.273,0.5406,-0.2037,False
RCFN,1,2,0.2729,0.2729,0.6085,-0.2038,False
ROFE,2,3,0.2728,0.2728,0.8078,-0.2039,False
Romani Fight Brasil,2,4,0.2726,0.1442,0.7328,-0.2041,False
AFC,106,162,0.2724,0.1395,0.7187,-0.2043,True
Southside Boxing,7,11,0.2723,0.091,1.0294,-0.2044,False
WiTo Sport Events,1,2,0.272,0.272,0.3477,-0.2047,False
UMMAF,14,18,0.2719,0.0861,1.0252,-0.2048,False
864 Fighting Championship,10,17,0.2714,0.2244,0.6676,-0.2053,False
Copa Norte de MMA,1,2,0.2706,0.2706,0.5372,-0.2061,False
Maximum Midway,1,2,0.2705,0.2705,0.3466,-0.2062,False
Rebel,3,5,0.27,0.2392,0.7634,-0.2067,False
FI,1,2,0.2698,0.2698,0.5362,-0.2069,False
DF,7,14,0.2691,0.1904,0.7642,-0.2076,False
St. Chamas,2,4,0.2686,0.2322,0.7573,-0.2081,False
TMT MMA,1,2,0.2675,0.2675,0.5915,-0.2092,False
VT,1,2,0.2669,0.2669,0.5323,-0.2098,False
PRB FCF-MMA,1,2,0.2669,0.2669,0.5323,-0.2098,False
EFFC,4,5,0.2664,0.6007,0.6648,-0.2103,False
UFT,12,18,0.2662,-0.0409,0.9781,-0.2105,False
FMD,5,9,0.2659,-0.0168,0.3342,-0.2108,False
Mafra Fight Kickboxing MMA,1,2,0.2658,0.2658,0.5307,-0.2109,False
Square Off Promotions,2,4,0.2658,0.1357,0.6428,-0.2109,False
Vigilant Promotions,1,2,0.2657,0.2657,0.5306,-0.211,False
Yakuza Fight,1,2,0.2656,0.2656,0.4149,-0.2111,False
Superior Challenge,36,46,0.2655,0.1941,0.9392,-0.2112,True
La Onda,3,6,0.2654,0.1684,0.5981,-0.2113,False
Nashe Delo,14,16,0.2649,0.2649,0.4488,-0.2118,False
Revolution,1,2,0.2648,0.2648,0.5757,-0.2119,False
Shooto,35,41,0.2648,0.5198,0.5198,-0.2119,True
Supremacy Fighting Championship,1,2,0.2646,0.2646,0.5291,-0.2121,False
EB,1,2,0.264,0.264,0.5284,-0.2127,False
BSC,14,18,0.2639,0.3643,0.8082,-0.2128,False
IMAT,2,4,0.2634,0.1283,0.5378,-0.2133,False
Talentos Fight Maranhao,1,2,0.2633,0.2633,0.5274,-0.2134,False
SPF / PSF,2,3,0.2633,0.2633,0.7915,-0.2134,False
Noite de Guerra,1,2,0.2633,0.2633,0.5274,-0.2134,False
Empire,1,2,0.2633,0.2633,0.5274,-0.2134,False
Killacam Fight Night,7,11,0.2629,0.197,0.6328,-0.2138,False
Mix It Up Sports,3,5,0.262,0.265,0.4059,-0.2147,False
Naiza,2,4,0.2617,0.397,0.5464,-0.215,False
Square Ring Promotions,10,15,0.2617,0.1503,0.432,-0.215,False
Arena MMA Plovdiv,1,2,0.2611,0.2611,0.3403,-0.2156,False
Opolscy Wojownicy,2,4,0.2611,0.2332,0.4492,-0.2156,False
Sao Goncalo,1,2,0.2603,0.2603,0.3398,-0.2164,False
VFC,70,98,0.2603,0.2496,0.7405,-0.2164,True
Juiz de Fora Fight,5,8,0.2598,0.241,0.8512,-0.2169,False
MMA Koszalin,2,4,0.2597,0.2512,0.5607,-0.217,False
DH,5,9,0.2597,0.3719,0.4627,-0.217,False
WFC,35,58,0.2591,0.0124,0.5666,-0.2176,True
World Cossack Fight Federation,3,5,0.2584,0.2174,0.6631,-0.2183,False
Charge MMA,1,2,0.2577,0.2577,0.3381,-0.219,False
Cannon Fight,1,2,0.2576,0.2576,0.338,-0.2191,False
TTP,1,2,0.2573,0.2573,0.2611,-0.2194,False
GetDown Promotions,3,5,0.2572,-0.18,0.9867,-0.2195,False
Slam,7,11,0.257,0.2002,0.7392,-0.2197,False
WEF ProfFight,2,4,0.2564,0.3833,0.4295,-0.2203,False
USKO,1,2,0.2559,0.2559,0.3369,-0.2208,False
RTC,3,6,0.2559,0.0865,0.6715,-0.2208,False
Royal Combat,1,2,0.2559,0.2559,0.3369,-0.2208,False
