event_uid,event_name,event_date,snapshot_kind,requested_snapshot,actual_snapshot,event_start_utc,api_event_id,commence_time,fighter_a,fighter_b,book_key,book_title,book_last_update,market_last_update,odds_a,odds_b,response_sha256
a7def4ca7bcf0c56a14a,UFC Fight Night: Kattar vs. Chikadze,2022-01-15,discovery_72h,2022-01-12T00:00:00+00:00,2022-01-11 23:55:00+00:00,2022-01-15T23:15:00+00:00,03558625730be30dca0b0a3c6a829ba3,2022-01-16T03:00:00Z,Giga Chikadze,Calvin Kattar,barstool,Barstool Sportsbook,2022-01-11T23:45:15Z,2022-01-11T23:45:15Z,-238,190,7420401bc004ea4b7af91e5d9624a3765f09b059271f210b81663de472667e27
a7def4ca7bcf0c56a14a,UFC Fight Night: Kattar vs. Chikadze,2022-01-15,discovery_72h,2022-01-12T00:00:00+00:00,2022-01-11 23:55:00+00:00,2022-01-15T23:15:00+00:00,03558625730be30dca0b0a3c6a829ba3,2022-01-16T03:00:00Z,Giga Chikadze,Calvin Kattar,unibet,Unibet,2022-01-11T23:43:54Z,2022-01-11T23:43:54Z,-238,190,7420401bc004ea4b7af91e5d9624a3765f09b059271f210b81663de472667e27
a7def4ca7bcf0c56a14a,UFC Fight Night: Kattar vs. Chikadze,2022-01-15,discovery_72h,2022-01-12T00:00:00+00:00,2022-01-11 23:55:00+00:00,2022-01-15T23:15:00+00:00,03558625730be30dca0b0a3c6a829ba3,2022-01-16T03:00:00Z,Giga Chikadze,Calvin Kattar,bovada,Bovada,2022-01-11T23:46:38Z,2022-01-11T23:46:38Z,-250,195,7420401bc004ea4b7af91e5d9624a3765f09b059271f210b81663de472667e27
a7def4ca7bcf0c56a14a,UFC Fight Night: Kattar vs. Chikadze,2022-01-15,discovery_72h,2022-01-12T00:00:00+00:00,2022-01-11 23:55:00+00:00,2022-01-15T23:15:00+00:00,10aabd6bdacd62ddc2617e3eab7a55a1,2022-01-16T01:15:00Z,Rogerio Bontorin,Brandon Royval,betfair,Betfair,2022-01-11T23:48:09Z,2022-01-11T23:48:09Z,144,-167,7420401bc004ea4b7af91e5d9624a3765f09b059271f210b81663de472667e27
a7def4ca7bcf0c56a14a,UFC Fight Night: Kattar vs. Chikadze,2022-01-15,discovery_72h,2022-01-12T00:00:00+00:00,2022-01-11 23:55:00+00:00,2022-01-15T23:15:00+00:00,10aabd6bdacd62ddc2617e3eab7a55a1,2022-01-16T01:15:00Z,Rogerio Bontorin,Brandon Royval,betonlineag,BetOnline.ag,2022-01-11T23:46:07Z,2022-01-11T23:46:07Z,145,-172,7420401bc004ea4b7af91e5d9624a3765f09b059271f210b81663de472667e27
a7def4ca7bcf0c56a14a,UFC Fight Night: Kattar vs. Chikadze,2022-01-15,discovery_72h,2022-01-12T00:00:00+00:00,2022-01-11 23:55:00+00:00,2022-01-15T23:15:00+00:00,10aabd6bdacd62ddc2617e3eab7a55a1,2022-01-16T01:15:00Z,Rogerio Bontorin,Brandon Royval,lowvig,LowVig.ag,2022-01-11T23:46:25Z,2022-01-11T23:46:25Z,145,-169,7420401bc004ea4b7af91e5d9624a3765f09b059271f210b81663de472667e27
a7def4ca7bcf0c56a14a,UFC Fight Night: Kattar vs. Chikadze,2022-01-15,discovery_72h,2022-01-12T00:00:00+00:00,2022-01-11 23:55:00+00:00,2022-01-15T23:15:00+00:00,10aabd6bdacd62ddc2617e3eab7a55a1,2022-01-16T01:15:00Z,Rogerio Bontorin,Brandon Royval,williamhill_us,William Hill (US),2022-01-11T23:46:50Z,2022-01-11T23:46:50Z,145,-169,7420401bc004ea4b7af91e5d9624a3765f09b059271f210b81663de472667e27
a7def4ca7bcf0c56a14a,UFC Fight Night: Kattar vs. Chikadze,2022-01-15,discovery_72h,2022-01-12T00:00:00+00:00,2022-01-11 23:55:00+00:00,2022-01-15T23:15:00+00:00,10aabd6bdacd62ddc2617e3eab7a55a1,2022-01-16T01:15:00Z,Rogerio Bontorin,Brandon Royval,draftkings,DraftKings,2022-01-11T23:45:15Z,2022-01-11T23:45:15Z,140,-161,7420401bc004ea4b7af91e5d9624a3765f09b059271f210b81663de472667e27
a7def4ca7bcf0c56a14a,UFC Fight Night: Kattar vs. Chikadze,2022-01-15,discovery_72h,2022-01-12T00:00:00+00:00,2022-01-11 23:55:00+00:00,2022-01-15T23:15:00+00:00,10aabd6bdacd62ddc2617e3eab7a55a1,2022-01-16T01:15:00Z,Rogerio Bontorin,Brandon Royval,sugarhouse,SugarHouse,2022-01-11T23:45:19Z,2022-01-11T23:45:19Z,140,-179,7420401bc004ea4b7af91e5d9624a3765f09b059271f210b81663de472667e27
a7def4ca7bcf0c56a14a,UFC Fight Night: Kattar vs. Chikadze,2022-01-15,discovery_72h,2022-01-12T00:00:00+00:00,2022-01-11 23:55:00+00:00,2022-01-15T23:15:00+00:00,10aabd6bdacd62ddc2617e3eab7a55a1,2022-01-16T01:15:00Z,Rogerio Bontorin,Brandon Royval,twinspires,TwinSpires,2022-01-11T23:45:16Z,2022-01-11T23:45:16Z,140,-179,7420401bc004ea4b7af91e5d9624a3765f09b059271f210b81663de472667e27
a7def4ca7bcf0c56a14a,UFC Fight Night: Kattar vs. Chikadze,2022-01-15,discovery_72h,2022-01-12T00:00:00+00:00,2022-01-11 23:55:00+00:00,2022-01-15T23:15:00+00:00,10aabd6bdacd62ddc2617e3eab7a55a1,2022-01-16T01:15:00Z,Rogerio Bontorin,Brandon Royval,betrivers,BetRivers,2022-01-11T23:46:54Z,2022-01-11T23:46:54Z,140,-179,7420401bc004ea4b7af91e5d9624a3765f09b059271f210b81663de472667e27
a7def4ca7bcf0c56a14a,UFC Fight Night: Kattar vs. Chikadze,2022-01-15,discovery_72h,2022-01-12T00:00:00+00:00,2022-01-11 23:55:00+00:00,2022-01-15T23:15:00+00:00,10aabd6bdacd62ddc2617e3eab7a55a1,2022-01-16T01:15:00Z,Rogerio Bontorin,Brandon Royval,wynnbet,WynnBET,2022-01-11T23:46:52Z,2022-01-11T23:46:52Z,145,-169,7420401bc004ea4b7af91e5d9624a3765f09b059271f210b81663de472667e27
a7def4ca7bcf0c56a14a,UFC Fight Night: Kattar vs. Chikadze,2022-01-15,discovery_72h,2022-01-12T00:00:00+00:00,2022-01-11 23:55:00+00:00,2022-01-15T23:15:00+00:00,10aabd6bdacd62ddc2617e3eab7a55a1,2022-01-16T01:15:00Z,Rogerio Bontorin,Brandon Royval,barstool,Barstool Sportsbook,2022-01-11T23:45:15Z,2022-01-11T23:45:15Z,140,-179,7420401bc004ea4b7af91e5d9624a3765f09b059271f210b81663de472667e27
a7def4ca7bcf0c56a14a,UFC Fight Night: Kattar vs. Chikadze,2022-01-15,discovery_72h,2022-01-12T00:00:00+00:00,2022-01-11 23:55:00+00:00,2022-01-15T23:15:00+00:00,10aabd6bdacd62ddc2617e3eab7a55a1,2022-01-16T01:15:00Z,Rogerio Bontorin,Brandon Royval,fanduel,FanDuel,2022-01-11T23:46:48Z,2022-01-11T23:46:48Z,140,-172,7420401bc004ea4b7af91e5d9624a3765f09b059271f210b81663de472667e27
